	subject	subject_yoked	letter	colorcode	r	g	b
0	101	201	a	1	181	44	67
1	101	201	f	2	0	163	228
2	101	201	i	4	16	114	86
3	101	201	h	3	109	57	142
4	101	201	k	6	237	114	162
5	101	201	j	5	239	79	41
6	101	201	m	8	161	199	70
7	101	201	l	7	248	154	28
8	101	201	s	10	255	211	0
9	101	201	u	11	49	60	163
10	101	201	t	9	9	181	172
11	101	201	v	12	183	61	160
12	101	201	z	13	58	175	75
