0	0	trained	color
1	0	trained	color
2	0	trained	color
3	0	trained	color
4	0	trained	color
5	0	trained	color
6	0	trained	color
7	0	trained	color
8	0	trained	color
9	0	trained	color
10	0	trained	color
11	0	trained	color
12	0	trained	color
0	0	trained	black
1	0	trained	black
2	0	trained	black
3	0	trained	black
4	0	trained	black
5	0	trained	black
6	0	trained	black
7	0	trained	black
8	0	trained	black
9	0	trained	black
10	0	trained	black
11	0	trained	black
12	0	trained	black
13	0	untrained	color
14	0	untrained	color
15	0	untrained	color
16	0	untrained	color
17	0	untrained	color
18	0	untrained	color
19	0	untrained	color
20	0	untrained	color
21	0	untrained	color
22	0	untrained	color
23	0	untrained	color
24	0	untrained	color
25	0	untrained	color
13	0	untrained	black
14	0	untrained	black
15	0	untrained	black
16	0	untrained	black
17	0	untrained	black
18	0	untrained	black
19	0	untrained	black
20	0	untrained	black
21	0	untrained	black
22	0	untrained	black
23	0	untrained	black
24	0	untrained	black
25	0	untrained	black
100	1	number	color
100	1	number	grey
100	1	letter	grey
