,subject,session,runs,samples,trs
164,108,ses-02,2,3720000,496
165,108,ses-02,3,3720000,496
166,108,ses-02,4,3727500,497
167,108,ses-02,5,1860000,248
168,108,ses-02,6,1860000,248
169,208,ses-01,1,3727500,497
170,208,ses-01,2,3720000,496
171,208,ses-01,3,3720000,496
172,208,ses-01,4,3727500,497
173,208,ses-01,5,1860000,248
174,208,ses-01,6,1860000,248
175,208,ses-02,1,3727501,497
176,208,ses-02,2,3720000,496
177,208,ses-02,3,3720000,496
178,208,ses-02,4,3727500,497
179,208,ses-02,5,1860000,248
180,208,ses-02,6,1860000,248
181,109,ses-01,1,3720000,496
182,109,ses-01,2,2145000,286
183,109,ses-01,3,1125000,150
184,109,ses-01,4,1860000,248
185,109,ses-01,5,1860000,248
186,109,ses-02,1,3727500,497
187,109,ses-02,2,3720000,496
188,109,ses-02,3,3727500,497
189,109,ses-02,4,3727500,497
190,109,ses-02,5,1860000,248
191,109,ses-02,6,1860000,248
192,209,ses-01,1,3727500,497
193,209,ses-01,2,3720000,496
194,209,ses-01,3,3719999,495
195,209,ses-01,4,3727501,497
196,209,ses-01,5,1860000,248
197,209,ses-01,6,1860000,248
198,209,ses-02,1,3727500,497
199,209,ses-02,2,3720000,496
200,209,ses-02,3,3720000,496
201,209,ses-02,4,3727500,497
202,209,ses-02,5,1860001,248
203,209,ses-02,6,1860001,248
204,110,ses-01,1,3727500,497
205,110,ses-01,2,3720000,496
206,110,ses-01,3,3720000,496
207,110,ses-01,4,3727500,497
208,110,ses-01,5,1860000,248
209,110,ses-01,6,1860001,248
210,110,ses-02,1,3727500,497
211,110,ses-02,2,3720000,496
212,110,ses-02,3,3720000,496
213,110,ses-02,4,3727500,497
214,110,ses-02,5,1860000,248
215,110,ses-02,6,1860000,248
216,210,ses-01,1,3727501,497
217,210,ses-01,2,3720000,496
218,210,ses-01,3,3719999,495
219,210,ses-01,4,3727500,497
220,210,ses-01,5,1860000,248
221,210,ses-01,6,1860000,248
222,210,ses-02,1,3727500,497
223,210,ses-02,2,3720000,496
224,210,ses-02,3,3720000,496
225,210,ses-02,4,3727500,497
226,210,ses-02,5,1860000,248
227,210,ses-02,6,1859999,247
228,111,ses-01,1,3727500,497
229,111,ses-01,2,3720000,496
230,111,ses-01,3,3720000,496
231,111,ses-01,4,3727500,497
232,111,ses-01,5,1860000,248
233,111,ses-01,6,1860000,248
234,111,ses-02,1,3727500,497
235,111,ses-02,2,3720000,496
236,111,ses-02,3,3720001,496
237,111,ses-02,4,3727500,497
238,111,ses-02,5,1860000,248
239,111,ses-02,6,1860001,248
240,211,ses-01,1,3727500,497
241,211,ses-01,2,3720000,496
242,211,ses-01,3,3720000,496
243,211,ses-01,4,3727500,497
244,211,ses-01,5,1859999,247
245,211,ses-01,6,1860000,248
246,211,ses-02,1,3727500,497
247,211,ses-02,2,3720000,496
248,211,ses-02,3,3720001,496
249,211,ses-02,4,3727499,496
250,211,ses-02,5,1860000,248
251,211,ses-02,6,1860000,248
252,112,ses-01,1,3727500,497
253,112,ses-01,2,3719999,495
254,112,ses-01,3,3720000,496
255,112,ses-01,4,3727500,497
256,112,ses-01,5,1860000,248
257,112,ses-01,6,1860000,248
258,112,ses-02,1,3719999,495
259,112,ses-02,2,3720000,496
260,112,ses-02,3,3720000,496
261,112,ses-02,4,3727500,497
262,112,ses-02,5,1860000,248
263,112,ses-02,6,1860000,248
264,212,ses-01,1,3727500,497
265,212,ses-01,2,3720000,496
266,212,ses-01,3,3720001,496
267,212,ses-01,4,3727500,497
268,212,ses-01,5,1860000,248
269,212,ses-01,6,1860000,248
270,212,ses-02,1,3727500,497
271,212,ses-02,2,3720000,496
272,212,ses-02,3,3720001,496
273,212,ses-02,4,3727500,497
274,212,ses-02,5,1860000,248
275,212,ses-02,6,1860000,248
276,113,ses-02,1,3727500,497
277,113,ses-02,2,3720001,496
278,113,ses-02,3,3727500,497
279,113,ses-02,4,3727499,496
280,113,ses-02,5,1860000,248
281,113,ses-02,6,1860000,248
282,213,ses-01,1,3727500,497
283,213,ses-01,2,3720000,496
284,213,ses-01,3,3727500,497
285,213,ses-01,4,3727500,497
286,213,ses-01,5,1860000,248
287,213,ses-01,6,1860000,248
0,213,ses-02,1,3727499,496
1,213,ses-02,2,3720000,496
2,213,ses-02,3,3720000,496
3,213,ses-02,4,3727500,497
4,213,ses-02,5,1860000,248
5,213,ses-02,6,1860000,248
288,114,ses-01,1,3727500,497
289,114,ses-01,2,3720000,496
290,114,ses-01,3,3720000,496
291,114,ses-01,4,3727500,497
292,114,ses-01,5,1860000,248
293,114,ses-01,6,1860000,248
294,114,ses-02,1,3727500,497
295,114,ses-02,2,3720001,496
296,114,ses-02,3,3720000,496
297,114,ses-02,4,3727500,497
298,114,ses-02,5,1860000,248
299,114,ses-02,6,1860000,248
300,214,ses-01,1,3727500,497
301,214,ses-01,2,3719999,495
302,214,ses-01,3,3727500,497
303,214,ses-01,4,3727500,497
304,214,ses-01,5,1860000,248
305,214,ses-01,6,1860001,248
306,214,ses-02,1,3727500,497
307,214,ses-02,2,3720000,496
308,214,ses-02,3,3720000,496
309,214,ses-02,4,3727500,497
310,214,ses-02,5,1860000,248
311,214,ses-02,6,1860000,248
312,115,ses-01,1,3727500,497
313,115,ses-01,2,3720000,496
314,115,ses-01,3,3720000,496
315,115,ses-01,4,3727500,497
